INLINE BiorhythmTable,Starting Position,Amplitude
None,0,4
Eirika,3,4
Seth,3,4
Gilliam,3,4
Franz,3,4
Moulder,3,4
Vanessa,3,4
Ross,3,4
Neimi,3,4
Colm,3,4
Garcia,3,4
Innes,3,4
Lute,3,4
Natasha,3,4
Cormag,3,4
Ephraim,3,4
Forde,3,4
Kyle,3,4
Amelia,3,4
Artur,3,4
Gerik,3,4
Tethys,3,4
Marisa,3,4
Saleh,3,4
Ewan,3,4
L'Arachel,3,4
Dozla,3,4
-0,3,4
Rennac,3,4
Duessel,3,4
Myrrh,3,4
Knoll,3,4
Joshua,3,4
Syrene,3,4
Tana,3,4
Lyon,3,4
Orson,3,4
Glen,3,4
Selena,3,4
Valter,3,4
Riev,3,4
Caellach,3,4
Fado,3,4
Ismaire,3,4
Hayden,3,4
FakeEirika,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
Lyon's Summon,3,4
-0,3,4
-0,3,4
Knoll's Summon,3,4
Ewan's Summon,3,4
Lyon (Ch 17),3,4
Morva (Ch 20),3,4
Orson (Ch 5x),3,4
Valter (Ch 15),3,4
Selena (Ch 10B & 13B),3,4
Valter (Prologue),3,4
Breguet (Ch 1),3,4
Bone (Ch 2),3,4
Bazba (Ch 3),3,4
Entombed (Ch 4),3,4
Saar (Ch 5),3,4
Novala (Ch 6),3,4
Murray (Ch 7),3,4
Tirado (Ch 8),3,4
Binks (Ch 9A),3,4
Pablo (Ch 10A),3,4
Maelduin (Ch 12A),3,4
Aias (Ch 13A),3,4
Carlyle (Ch 14A),3,4
Caellach (Ch 15),3,4
Pablo (Ch 13A),3,4
-0,3,4
Gorgon (Ch 18),3,4
Riev (Ch 19 & 20),3,4
-0,3,4
-0,3,4
Gheb (Ch 9B),3,4
Beran (Ch 10B),3,4
Cyclops (Ch 12B),3,4
Wight (Ch 11A),3,4
Deathgoyle (Ch 11B),3,4
Entombed (Monster Boss),3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
Hunter (Ch 16),3,4
-0,3,4
Brigand,3,4
-0,3,4
O'Neill (Prologue),3,4
Glen (Cutscene),3,4
Zonta (Ch 5x),3,4
Vigarde (Ch 14B),3,4
Lyon (Ch Final),3,4
Orson (Ch 16),3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
Grado Soldier (Special),3,4
Grado Soldier 1 (Normal),3,4
Grado Soldier 2,3,4
Grado Soldier 3,3,4
Grado Soldier 4,3,4
Grado Soldier 5,3,4
Grado Soldier 6,3,4
Grado Soldier 7,3,4
Grado Soldier 8,3,4
Grado Soldier 9,3,4
Grado Soldier 10 (Duessel's),3,4
Grado Soldier 11 (Duessel's),3,4
Grado Soldier 12 (Duessel's),3,4
Grado Soldier 13,3,4
Grado Remnant 1 (Main),3,4
Cutthroat,3,4
Grado Remnant 2 (Cutscene and C16 only?),3,4
Grado Remnant 3 (C16 only?),3,4
Grado Remnant 4 (C16 only?),3,4
Wraith (Sage),3,4
Wraith (Swords),3,4
Wraith (Axes),3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
Mercenary (C9A),3,4
Mercenary (C10A),3,4
Merc Remnant (C13A),3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Monster,3,4
Demon King,3,4
-0,3,4
Frelian,3,4
Frelian,3,4
-0,3,4
-0,3,4
-0,3,4
Fado (Renais),3,4
-0,3,4
Hayden (Frelia),3,4
Mansel (Rausten),3,4
Klimt (Carcino),3,4
Dara (Caer Pelyn),3,4
Ismaire (Jehanna),3,4
Pegasus Messenger,3,4
Rausten Knight,3,4
Rausten Knight,3,4
(Untested Beyond this point),3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
