"INLINE Class_Level_Cap_Table","Level Cap"
"0x00 Separator/Nothing",20
"0x01 Ephraim Lord",20
"0x02 Eirika Lord",20
"0x03 Ephraim Great Lord",20
"0x04 Eirika Great Lord",20
"0x05 Cavalier",20
"0x06 Cavalier (F)",20
"0x07 Paladin",20
"0x08 Paladin (F)",20
"0x09 Armour Knight",20
"0x0A Armour Knight (F)",20
"0x0B General",20
"0x0C General (F)",20
"0x0D Thief",20
"0x0E Manakete",20
"0x0F Mercenary",20
"0x10 Mercenary (F)",20
"0x11 Hero",20
"0x12 Hero (F)",20
"0x13 Myrmidon",20
"0x14 Myrmidon (F)",20
"0x15 Swordmaster",20
"0x16 Swordmaster (F)",20
"0x17 Assassin",20
"0x18 Assassin (F)",20
"0x19 Archer",20
"0x1A Archer (F)",20
"0x1B Sniper",20
"0x1C Sniper (F)",20
"0x1D Ranger",20
"0x1E Ranger (F)",20
"0x1F Wyvern Rider",20
"0x20 Wyvern Rider (F)",20
"0x21 Wyvern Lord",20
"0x22 Wyvern Lord (F)",20
"0x23 Wyvern Knight",20
"0x24 Wyvern Knight (F)",20
"0x25 Mage",20
"0x26 Mage (F)",20
"0x27 Sage",20
"0x28 Sage (F)",20
"0x29 Mage Knight",20
"0x2A Mage Knight (F)",20
"0x2B Bishop",20
"0x2C Bishop (F)",20
"0x2D Shaman",20
"0x2E Shaman (F)",20
"0x2F Druid",20
"0x30 Druid (F)",20
"0x31 Summoner",20
"0x32 Summoner (F)",20
"0x33 Rogue",20
"0x34 Gorgon Egg",20
"0x35 Great Knight",20
"0x36 Great Knight (F)",20
"0x37 Recruit (2)",20
"0x38 Journeyman (3)",20
"0x39 Pupil (3)",20
"0x3A Recruit (3)",20
"0x3B Manakete",20
"0x3C Manakete (F)",20
"0x3D Journeyman (1)",10
"0x3E Pupil (1)",10
"0x3F Fighter",20
"0x40 Warrior",20
"0x41 Brigand",20
"0x42 Pirate",20
"0x43 Berserker",20
"0x44 Monk",20
"0x45 Priest",20
"0x46 Bard",20
"0x47 Recruit (1)",10
"0x48 Pegasus Knight",20
"0x49 Falcon Knight",20
"0x4A Cleric",20
"0x4B Troubadour",20
"0x4C Valkyrie",20
"0x4D Dancer",20
"0x4E Soldier",20
"0x4F Necromancer",20
"0x50 Fleet",20
"0x51 Phantom",20
"0x52 Revenant",20
"0x53 Entombed",20
"0x54 Bonewalker",20
"0x55 Bonewalker (Bow)",20
"0x56 Wight",20
"0x57 Wight (Bow)",20
"0x58 Bael",20
"0x59 Elder Bael",20
"0x5A Cyclops",20
"0x5B Mauthe Doog",20
"0x5C Gwyllgi",20
"0x5D Tarvos",20
"0x5E Maelduin",20
"0x5F Mogall",20
"0x60 Arch Mogall",20
"0x61 Gorgon",20
"0x62 Gorgon Egg",20
"0x63 Gargoyle",20
"0x64 Deathgoyle",20
"0x65 Dracozombie",20
"0x66 Demon King",20
"0x67 Archer on Ballista",20
"0x68 Archer on Iron Ballista",20
"0x69 Archer on Killer Ballista",20
"0x6A Ballista",20
"0x6B Iron Ballista",20
"0x6C Killer Ballista",20
"0x6D Civilian",20
"0x6E Civilian (F)",20
"0x6F Civilian",20
"0x70 Civilian (F)",20
"0x71 Civilian",20
"0x72 Civilian (F)",20
"0x73 Peer",20
"0x74 Queen",20
"0x75 Prince",20
"0x76 Queen",20
"0x77 (empty)",20
"0x78 Fallen Prince",20
"0x79 Tent",20
"0x7A Pontifex",20
"0x7B Fallen Peer",20
"0x7C Cyclops 2",20
"0x7D Elder Bael 2",20
"0x7E Journeyman (2)",20
"0x7F Invalid",0
